Countries,Region,V40,V45,V51,v53,V139,V203,PC,BGR,CM,LW,YS
Argentina,1,0.16,-0.30,-0.44,-0.52,1.49,0.48,0.79,0.77,0.82,0.56,0.69
Armenia,2,,,,,,,0.37,0.58,-0.32,0.53,0.70
Brazil,1,-0.14,-0.32,-0.44,-0.45,-0.09,-0.07,-5.05,0.60,0.93,0.69,-0.15
Chile,1,-0.42,-0.26,-0.29,-0.36,-0.16,0.28,-0.06,0.12,-0.08,0.52,0.81
China,3,-0.68,-0.14,0.43,1.25,0.05,-1.36,-5.05,0.69,1.11,0.49,-0.27
Colombia,1,-0.55,,-0.45,2.27,,-0.32,1.22,0.75,0.82,0.62,-0.28
Ecuador,1,,,,,,,0.90,0.34,,0.54,0.16
Egypt,4,,4.24,3.89,2.98,-0.29,,0.16,-0.19,-0.01,-0.64,-0.46
Germany,2,0.18,-0.34,-0.51,-0.60,1.21,0.87,0.57,0.04,,,0.94
Ghana,4,-0.71,-0.10,0.48,0.60,-0.43,-1.26,-0.77,-0.30,-1.81,0.18,-0.76
Hong Kong,3,-0.58,-0.29,-0.40,,,-0.37,0.46,0.23,0.88,,
Iraq,5,,0.67,1.99,,-2.08,,0.33,-1.80,-0.47,-0.12,-1.27
Japan,3,,-0.08,-0.35,-0.37,-1.12,0.23,-1.95,0.29,-0.26,,1.33
Kuwait,5,,,,,,,0.67,0.72,,0.52,-0.01
Lebanon,5,,,,,,,1.15,0.67,,0.60,0.44
Mexico,1,-0.64,-0.32,-0.46,-0.54,-0.09,0.08,-0.14,0.46,0.56,0.49,0.15
Morocco,4,,-0.08,-0.17,0.12,-1.05,,0.71,-1.03,,-1.61,-1.59
Netherlands,2,1.55,-0.37,-0.51,-0.60,0.25,1.57,-0.65,0.07,0.40,,0.85
Nigeria,4,,,0.56,,,,-5.05,-1.21,-2.06,-1.45,-0.95
Pakistan,3,,,-0.29,,,,-1.04,-2.16,-1.47,-2.68,
Palestine,5,,,,-0.71,,,-2.10,,,,-1.65
Peru,1,-0.52,-0.34,-0.51,,0.32,,-5.05,0.18,0.55,0.33,0.28
Qatar,5,,,,-0.53,,,0.62,1.72,,0.58,0.36
Russia,2,-0.66,-0.25,-0.11,-0.05,1.15,-1.01,0.24,0.11,0.88,0.53,1.26
Rwanda,4,-0.66,-0.31,-0.26,-0.09,-1.67,-1.41,-5.05,0.43,-1.50,0.57,-1.59
Spain,2,1.94,-0.35,-0.50,-0.58,0.39,0.97,-1.56,0.56,0.25,0.51,0.50
Sweden,2,2.58,-0.39,-0.55,-0.67,1.97,1.87,0.53,0.23,,,1.27
Turkey,4,-0.74,0.00,-0.11,0.02,0.05,-1.36,0.33,-0.65,0.58,0.04,-0.40
United States,1,-0.24,-0.37,-0.48,-0.60,-0.09,0.13,0.28,0.31,0.84,,1.37
Uruguay,1,0.82,-0.33,-0.50,-0.58,0.19,0.68,0.52,0.66,0.81,0.62,0.60
Yemen,3,#REF!,,,,,,0.76,-3.19,-1.47,-2.42,-2.33
