Countries,Region,V40,V45,V47,V48,V51,V53,V139,V203,PC,GBR,CM
Argentina ,1,0.81,-0.76,-0.93,-0.02,-0.53,-0.71,0.61,0.97,,,
Armenia ,2,-0.57,0.03,0.15,-0.95,-0.22,0.25,0.06,-0.99,-0.45,0.60,-0.73
Brazil ,1,0.81,-0.75,-0.39,1.59,-0.52,-0.64,1.30,0.54,,,
Chile ,1,-0.09,-0.71,0.27,1.94,-0.53,-0.75,0.68,1.02,0.42,0.27,
China ,3,-0.43,-0.32,-0.77,-0.63,0.66,3.32,-0.08,-0.51,,0.73,
Colombia ,1,-0.26,-0.70,0.33,0.91,-0.53,0.79,-0.08,0.02,1.37,0.69,1.02
Ecuador,1,-0.31,-0.67,0.04,-0.48,-0.54,-0.72,-0.70,-0.20,0.86,0.35,
Egypt,4,-0.58,3.29,1.24,-0.26,2.27,1.94,-1.25,-1.47,,-1.08,
Germany,2,0.03,-0.75,-1.03,2.28,-0.56,-0.68,1.99,1.11,0.55,-0.25,
Ghana,4,-0.54,-0.27,1.57,-0.66,0.25,0.67,-0.22,-0.86,-0.04,-0.21,
Hong Kong,3,-0.25,-0.51,-0.32,0.57,-0.51,-0.62,-0.49,0.36,0.02,0.58,
Iraq,5,-0.54,1.23,-0.18,-1.04,0.24,0.53,-1.74,-0.73,,,
Japan,3,-0.58,0.30,-0.50,2.42,-0.46,-0.52,-0.42,0.76,,0.29,
Kuwait,5,-0.58,1.02,-0.05,-0.98,0.14,0.21,-0.84,-1.47,0.63,,
Lebanon,5,-0.45,-0.25,0.82,-0.19,4.30,-0.41,-1.11,-0.16,,0.76,
Mexico,1,-0.46,-0.75,0.25,-0.39,-0.55,-0.74,1.16,0.36,-0.18,0.59,
Morocco,4,-0.55,-0.33,0.68,-0.76,-0.14,0.36,0.20,-0.90,0.86,,
Netherlands,2,1.70,-0.83,-1.57,0.47,-0.58,-0.86,0.75,1.98,-0.50,0.13,
Nigeria,4,-0.50,0.94,2.16,-0.16,0.06,0.74,-1.46,-0.64,,-1.04,
Pakistan,3,-0.46,1.19,0.04,-1.24,-0.03,1.28,-0.63,-0.81,-1.43,-2.47,
Palestine,5,-0.49,0.78,0.74,-0.84,0.24,-0.90,-1.67,-0.81,-2.11,,
Peru,1,-0.36,-0.73,-0.61,0.14,-0.56,0.10,0.06,0.15,,0.16,0.68
Qatar,5,-0.54,0.78,-0.45,-0.61,0.61,-0.78,-0.49,-0.90,0.42,1.04,
Russia,2,-0.49,-0.49,-0.42,0.34,-0.31,-0.17,0.47,-0.38,0.23,,
Rwanda,4,-0.55,-0.22,0.05,-0.89,-0.44,-0.37,-0.29,-0.81,,0.60,-0.97
Spain,2,2.67,-0.80,-1.32,0.28,-0.57,-0.81,1.02,1.63,-1.17,0.38,
Sweden,2,3.53,-0.87,-1.38,-0.92,-0.58,-0.87,2.61,2.11,0.68,0.16,
Turkey,4,-0.55,0.54,1.60,0.88,-0.14,0.51,-0.15,-0.73,0.30,-0.38,
United States,1,0.11,-0.84,-1.27,-0.43,-0.56,-0.84,0.47,0.89,0.49,0.28,
Uruguay,1,0.96,-0.67,-0.87,0.47,-0.59,-0.80,0.33,1.28,0.77,0.83,
Yemen,3,-0.50,2.08,2.12,-0.85,0.69,1.49,-0.08,-0.81,0.77,-3.01,
