Countries,Region,V40,V45,V51,V203,WM,PC,GBR,CM,LW,SW,YS
Argentina,1,0.16,-0.59,-0.47,0.72,-0.40,0.46,0.64,,,-0.47,0.71
Armenia,2,,-0.25,1.52,-0.89,,,,,,,0.83
Brazil,1,,,,,0.33,,,0.82,,-0.84,-0.28
Chile,1,-0.23,-0.53,-0.40,-0.05,-0.62,-0.02,0.36,,,-0.88,0.78
China,3,-0.47,-0.42,2.90,-1.27,,0.03,-0.39,1.34,,,-0.37
Colombia,1,1.08,2.53,-0.51,-0.44,1.93,-0.08,0.70,0.63,0.86,-0.92,-0.18
Ecuador,1,,,,,,0.05,0.45,-0.01,,,0.12
Egypt,4,,,,,,-0.56,-1.32,-0.30,0.12,,-0.63
Germany,2,,,,,-0.60,0.35,0.17,,,0.53,1.02
Ghana,4,,,,,,,-1.28,-1.76,,,-0.70
Hong Kong,3,,,,,,,0.46,1.21,,,
Iraq,5,,,,,,0.44,-1.88,,,,-1.13
Japan,3,-1.29,-0.30,-0.05,0.08,-0.70,,0.45,0.04,,1.51,1.44
Kuwait,5,,,,,-0.54,0.72,0.59,-0.30,0.63,-0.97,-0.14
Lebanon,5,,,,,,0.40,0.60,0.17,,,0.25
Mexico,1,-1.08,0.21,-0.38,-0.31,0.15,-0.20,0.07,0.44,,-1.11,0.00
Morocco,4,,,,,,0.36,-2.34,-0.11,-0.79,,-1.53
Netherlands,2,,,,,-0.62,-3.69,-0.02,0.58,,0.42,0.87
Nigeria,4,-0.64,-0.27,,-1.14,,,,-1.83,,,-1.02
Pakistan,3,,0.18,,,,,,-1.63,-0.80,,
Palestine,5,,,,,,,,,,,-1.65
Peru,1,-0.41,-0.60,-0.53,0.01,,,0.00,0.30,,,0.17
Qatar,5,,,,,,0.18,-0.10,-0.58,0.89,,0.16
Russia,2,-0.55,-0.40,-0.05,-1.01,2.46,-1.34,0.52,0.34,,2.13,1.31
Rwanda,4,,,,,,0.12,,-1.82,,,-1.43
Spain,2,0.57,-0.57,-0.57,1.36,-0.71,,0.81,1.01,,-0.45,0.36
Sweden,2,1.83,-0.65,-0.63,2.32,-0.62,0.83,1.49,0.76,,0.86,1.42
Turkey,4,-0.64,-0.13,0.14,,,1.05,-1.74,0.29,,,-0.58
United States,1,0.09,-0.61,-0.52,0.21,0.19,-0.36,0.45,0.81,,-0.09,1.66
Uruguay,1,2.11,2.42,-0.45,0.40,-0.26,0.88,1.31,1.13,0.84,0.27,0.62
Yemen,3,-0.53,,,,,0.38,,-1.52,-1.76,,-2.07
